X,X.1,CHARACTER_ID,SCRIPT_ID,CHARACTER_NAME,ACTOR_NAME,PARTIAL_MATCH,GENDER,MISGENDER,CHARACTER_RACE,ACTOR_RACE,PART_WHITE,AGE,EXTRACTED_WORDS,POLYGRAPH_.WORDS,IMDB_ACTOR_HOMEPAGE,GOOGLE_IMAGE_SEARCH
1,14,960,863,ronnie,Aaron Yoo,n,m,,a,a,n,28,613,926,http://www.imdb.com/name/nm1683094/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Aaron+Yoo+actor&source=lnms&tbm=isch
2,81,15713,5298,dulcie kawamura,Akemi Nishino,n,f,x,a,a,n,NA,292,365,http://www.imdb.com/name/nm0632781/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=Akemi+Nishino+actor&source=lnms&tbm=isch
3,82,2929,1343,fujiko imada,Ako,n,f,,a,a,n,NA,192,198,http://www.imdb.com/name/nm0015488/?ref_=ttfc_fc_cl_t15,https://www.google.com/search?q=Ako+actress&source=lnms&tbm=isch
4,867,5732,2087,eric draven,Brandon Lee,n,m,,w,a,y,32,854,2530,http://www.imdb.com/name/nm0000488/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Brandon+Lee+actor&source=lnms&tbm=isch
5,2032,13887,4589,jim trudell,Don Wilson,y,m,,a,a,y,41,548,909,http://www.imdb.com/name/nm0933310/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Don+Wilson+actor&source=lnms&tbm=isch
6,2244,15721,5298,younger mini mc,Elizabeth Gilliam,y,f,,a,a,cf,NA,205,255,http://www.imdb.com/name/nm0319102/?ref_=ttfc_fc_cl_t10,https://www.google.com/search?q=Elizabeth+Gilliam+actress&source=lnms&tbm=isch
7,2387,6720,2338,scott fuller,Ernest Liu,n,m,,a,a,cf,NA,268,812,http://www.imdb.com/name/nm0514918/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Ernest+Liu+actor&source=lnms&tbm=isch
8,2715,15096,5033,sulu,George Takei,y,m,,a,a,n,54,200,341,http://www.imdb.com/name/nm0001786/?ref_=ttfc_fc_cl_t7,https://www.google.com/search?q=George+Takei+actor&source=lnms&tbm=isch
9,2714,15067,5029,sulu,George Takei,n,m,,a,a,n,49,218,283,http://www.imdb.com/name/nm0001786/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=George+Takei+actor&source=lnms&tbm=isch
10,3020,15167,5063,myers,Henry Strzalkowski,n,m,,a,a,y,40,297,502,http://www.imdb.com/name/nm0835459/?ref_=ttfc_fc_cl_t11,https://www.google.com/search?q=Henry+Strzalkowski+actor&source=lnms&tbm=isch
11,3222,10056,3250,lee,Jackie Chan,n,m,,a,a,n,47,1101,3524,http://www.imdb.com/name/nm0000329/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Jackie+Chan+actor&source=lnms&tbm=isch
12,3221,10047,3248,lee,Jackie Chan,n,m,,a,a,n,44,533,1128,http://www.imdb.com/name/nm0000329/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Jackie+Chan+actor&source=lnms&tbm=isch
13,3289,1666,1030,miguel,James Duval,n,m,,l,a,y,24,195,263,http://www.imdb.com/name/nm0001166/?ref_=ttfc_fc_cl_t14,https://www.google.com/search?q=James+Duval+actor&source=lnms&tbm=isch
14,3390,1812,1077,norbu thundrup,Jamyang Tenzin,n,m,,a,a,n,NA,253,340,http://www.imdb.com/name/nm2174179/?ref_=ttfc_fc_cl_t19,https://www.google.com/search?q=Jamyang+Tenzin+actor&source=lnms&tbm=isch
15,3922,1427,988,harold lee,John Cho,n,m,,a,a,n,32,1881,4102,http://www.imdb.com/name/nm0158626/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=John+Cho+actor&source=lnms&tbm=isch
16,3985,10057,3250,ricky tan,John Lone,n,m,,a,a,n,49,370,1026,http://www.imdb.com/name/nm0518821/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=John+Lone+actor&source=lnms&tbm=isch
17,4117,1683,1036,short round,Jonathan Ke Quan,y,m,,a,a,n,13,320,417,http://www.imdb.com/name/nm0702841/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Jonathan+Ke+Quan+actor&source=lnms&tbm=isch
18,4246,2553,1264,co,Julia Nickson,n,f,,a,a,y,27,323,440,http://www.imdb.com/name/nm0630100/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Julia+Nickson+actress&source=lnms&tbm=isch
20,4442,4827,1856,rebecca,Katie Chang,n,f,,a,a,y,NA,692,1285,http://www.imdb.com/name/nm4583512/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Katie+Chang+actress&source=lnms&tbm=isch
21,4508,8141,2714,dr. kuni,Ken Jeong,n,m,,a,a,n,38,377,688,http://www.imdb.com/name/nm0421822/?ref_=ttfc_fc_cl_t17,https://www.google.com/search?q=Ken+Jeong+actor&source=lnms&tbm=isch
22,4517,8215,2739,katsumoto,Ken Watanabe,n,m,,a,a,n,44,882,2812,http://www.imdb.com/name/nm0913822/?ref_=ttfc_fc_cl_t1,https://www.google.com/search?q=Ken+Watanabe+actor&source=lnms&tbm=isch
23,4516,7711,2598,saito,Ken Watanabe,n,m,,a,a,n,51,507,976,http://www.imdb.com/name/nm0913822/?ref_=ttfc_fc_cl_t5,https://www.google.com/search?q=Ken+Watanabe+actor&source=lnms&tbm=isch
24,4750,6610,2311,sarah (segment,Lana McKissack,y,f,,a,a,y,11,332,1108,http://www.imdb.com/name/nm0572001/?ref_=ttfc_fc_cl_t11,https://www.google.com/search?q=Lana+McKissack+actress&source=lnms&tbm=isch
25,4917,7911,2664,rowan,Lexa Doig,n,f,,a,a,y,28,772,1382,http://www.imdb.com/name/nm0230693/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Lexa+Doig+actress&source=lnms&tbm=isch
26,5059,5380,1989,alex munday,Lucy Liu,n,f,,a,a,n,32,495,1752,http://www.imdb.com/name/nm0005154/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Lucy+Liu+actress&source=lnms&tbm=isch
27,5058,13571,4474,o-ren ishii,Lucy Liu,n,f,,a,a,n,35,299,503,http://www.imdb.com/name/nm0005154/?ref_=ttfc_fc_cl_t2,https://www.google.com/search?q=Lucy+Liu+actress&source=lnms&tbm=isch
28,5057,12593,4121,taryn mills,Lucy Liu,n,f,,a,a,n,37,306,480,http://www.imdb.com/name/nm0005154/?ref_=ttfc_fc_cl_t18,https://www.google.com/search?q=Lucy+Liu+actress&source=lnms&tbm=isch
30,5373,8217,2739,omura,Masato Harada,n,m,,a,a,n,54,811,2524,http://www.imdb.com/name/nm0361735/?ref_=ttfc_fc_cl_t8,https://www.google.com/search?q=Masato+Harada+actor&source=lnms&tbm=isch
31,5469,3825,1564,sister agnes,Meg Tilly,n,f,,w,a,y,25,1276,4206,http://www.imdb.com/name/nm0000672/?ref_=ttfc_fc_cl_t3,https://www.google.com/search?q=Meg+Tilly+actress&source=lnms&tbm=isch
32,5804,10214,3298,vera,Moon Bloodgood,n,f,,a,a,y,37,330,622,http://www.imdb.com/name/nm1291227/?ref_=ttfc_fc_cl_t4,https://www.google.com/search?q=Moon+Bloodgood+actress&source=lnms&tbm=isch
33,5844,2998,1351,horuko togokahn,Nan Yu,n,f,,a,a,n,30,156,306,http://www.imdb.com/name/nm0950544/?ref_=ttfc_fc_cl_t46,https://www.google.com/search?q=Nan+Yu+actress&source=lnms&tbm=isch
